B_COUNTRY_ALPHA,Q262,Q260,Q289,Q275,Q287,mapped_category
AND,60,2,1,3,3,1.0
AND,47,1,1,7,2,1.0
AND,48,1,1,7,3,1.0
AND,51,2,1,1,4,1.0
AND,33,2,1,1,4,1.0
AND,55,1,1,4,2,1.0
AND,40,2,0,1,4,1.0
AND,54,1,2,3,3,1.0
AND,39,1,1,7,2,8.0
AND,44,2,1,1,4,1.0
AND,53,2,1,6,2,1.0
AND,43,2,1,1,4,1.0
AND,33,1,1,1,4,1.0
AND,21,1,0,1,4,1.0
AND,61,2,1,3,4,1.0
AND,47,2,1,7,2,8.0
AND,51,2,1,1,5,1.0
AND,43,2,1,6,3,1.0
AND,38,2,0,3,3,1.0
AND,18,1,0,3,2,1.0
AND,18,2,0,4,3,1.0
AND,39,1,2,3,4,1.0
AND,63,2,1,1,4,1.0
AND,66,2,1,6,2,1.0
AND,48,2,1,2,4,1.0
AND,60,1,0,5,4,1.0
AND,60,2,1,2,3,1.0
AND,41,2,2,5,4,1.0
AND,43,1,0,5,3,1.0
AND,58,1,1,1,2,1.0
AND,51,1,0,7,3,1.0
AND,71,2,1,3,3,1.0
AND,51,1,1,6,3,1.0
AND,60,2,0,3,4,1.0
AND,54,2,1,2,5,1.0
AND,55,2,0,3,4,1.0
AND,53,1,0,6,2,1.0
AND,47,1,0,7,4,1.0
AND,47,2,1,6,4,1.0
AND,29,2,0,7,3,1.0
AND,29,2,0,6,2,1.0
AND,27,2,1,3,4,1.0
AND,66,2,1,1,4,1.0
AND,61,2,1,5,3,1.0
AND,27,2,1,4,3,1.0
AND,30,2,0,7,2,1.0
AND,49,1,0,4,3,1.0
AND,26,1,0,5,3,1.0
AND,41,2,3,6,3,1.0
AND,71,2,1,5,3,1.0
AND,58,2,1,1,4,1.0
AND,60,2,1,4,3,1.0
AND,37,1,1,3,3,1.0
AND,58,2,1,2,4,1.0
AND,32,1,0,6,3,1.0
AND,28,1,0,2,3,1.0
AND,48,1,1,3,3,1.0
AND,37,1,1,7,2,1.0
AND,35,2,1,2,4,1.0
AND,31,2,0,3,3,1.0
AND,27,1,1,7,3,1.0
AND,57,2,0,6,3,1.0
AND,34,1,0,7,2,1.0
AND,55,2,1,3,4,1.0
AND,22,2,0,7,3,1.0
AND,55,2,1,3,3,1.0
AND,51,2,0,4,4,1.0
AND,86,2,1,1,4,1.0
AND,18,2,1,4,2,1.0
AND,32,1,0,3,3,1.0
AND,72,2,1,1,4,1.0
AND,40,2,1,2,3,1.0
AND,48,2,1,2,3,1.0
AND,57,2,1,2,4,1.0
AND,22,1,1,3,3,1.0
AND,64,2,1,1,3,1.0
AND,47,2,1,2,4,1.0
AND,54,2,1,1,4,1.0
AND,33,2,1,6,3,1.0
AND,71,2,1,1,4,1.0
AND,66,1,1,2,4,1.0
AND,49,2,1,1,3,1.0
AND,39,2,1,3,4,1.0
AND,52,2,1,3,4,1.0
AND,30,2,1,4,3,1.0
AND,49,2,0,2,4,2.0
AND,68,2,1,1,4,1.0
AND,36,1,0,3,3,1.0
AND,48,2,1,4,4,1.0
AND,61,2,0,4,3,1.0
AND,46,1,1,4,3,1.0
AND,20,2,0,4,2,1.0
AND,46,2,0,4,4,1.0
AND,55,2,1,1,4,1.0
AND,32,2,1,3,2,1.0
AND,56,1,0,4,3,1.0
AND,67,1,5,2,2,5.0
AND,32,1,1,3,3,1.0
AND,67,2,1,3,4,1.0
AND,68,1,1,6,2,1.0
AND,66,1,1,1,3,1.0
AND,39,2,1,3,4,1.0
AND,49,2,0,6,2,1.0
AND,45,2,0,2,4,1.0
AND,32,1,0,3,4,1.0
AND,30,2,1,4,3,1.0
AND,38,2,1,1,4,1.0
AND,24,1,0,2,2,1.0
AND,37,1,1,5,4,1.0
AND,28,1,5,2,3,5.0
AND,30,1,0,2,3,1.0
AND,31,2,3,6,3,1.0
AND,32,2,1,6,3,1.0
AND,30,2,3,6,2,1.0
AND,48,2,1,4,3,1.0
AND,50,2,1,4,2,1.0
AND,27,1,3,6,3,1.0
AND,37,2,5,6,3,1.0
AND,54,2,3,6,3,1.0
AND,47,1,0,2,3,1.0
AND,41,1,0,2,2,1.0
AND,24,2,1,2,3,1.0
AND,30,1,0,3,2,1.0
AND,41,2,1,1,3,1.0
AND,34,1,1,2,2,1.0
AND,56,1,1,1,3,1.0
AND,59,1,1,1,3,1.0
AND,47,1,0,2,4,1.0
AND,52,1,0,2,4,1.0
AND,29,2,3,6,2,1.0
AND,36,1,1,3,4,1.0
AND,50,2,1,1,4,1.0
AND,62,1,1,3,3,1.0
AND,42,1,1,2,4,1.0
AND,28,2,1,1,4,1.0
AND,38,1,1,4,3,1.0
AND,48,1,1,4,3,1.0
AND,33,2,1,2,3,1.0
AND,45,1,1,1,4,1.0
AND,42,1,1,2,4,1.0
AND,50,1,1,2,4,1.0
AND,30,2,1,2,4,1.0
AND,51,2,1,7,3,1.0
AND,68,1,1,6,1,1.0
AND,47,1,1,3,3,1.0
AND,58,2,1,1,4,1.0
AND,46,2,1,6,3,1.0
AND,58,1,1,1,4,1.0
AND,56,1,1,1,4,1.0
AND,30,2,1,2,3,1.0
AND,62,2,1,3,3,1.0
AND,41,1,1,1,4,1.0
AND,71,1,0,2,3,1.0
AND,79,2,1,0,4,1.0
AND,34,1,0,6,3,1.0
AND,50,1,1,3,3,1.0
AND,62,2,1,1,2,1.0
AND,60,1,0,1,3,1.0
AND,44,1,1,1,3,1.0
AND,50,2,1,5,4,1.0
AND,34,2,1,3,4,1.0
AND,69,2,1,3,3,1.0
AND,30,1,0,4,4,1.0
AND,33,1,1,3,4,1.0
AND,65,2,1,1,5,1.0
AND,59,2,1,6,3,1.0
AND,33,1,1,7,3,1.0
AND,50,1,0,3,3,1.0
AND,39,2,1,6,2,1.0
AND,48,2,1,1,5,1.0
AND,36,1,1,6,4,1.0
AND,71,1,0,3,3,1.0
AND,47,1,1,1,2,1.0
AND,65,1,0,2,4,1.0
AND,39,1,1,7,3,1.0
AND,42,2,1,5,2,1.0
AND,39,1,1,5,4,1.0
AND,43,1,0,7,3,1.0
AND,20,1,1,5,2,1.0
AND,59,1,1,7,3,1.0
AND,65,1,1,3,3,1.0
AND,37,2,1,2,4,1.0
AND,53,2,1,6,3,1.0
AND,56,2,1,7,3,1.0
AND,39,2,9,6,3,1.0
AND,58,1,0,4,4,1.0
AND,41,2,0,7,4,1.0
AND,24,1,0,6,3,1.0
AND,64,1,1,1,4,1.0
AND,32,2,1,3,4,1.0
AND,68,2,1,1,3,1.0
AND,26,2,5,5,4,1.0
AND,59,1,5,2,4,5.0
AND,34,2,1,3,4,1.0
AND,73,2,1,1,4,1.0
AND,70,1,0,1,3,1.0
AND,51,2,7,1,4,1.0
AND,63,2,1,1,5,1.0
AND,49,1,0,3,3,1.0
AND,25,2,0,7,2,1.0
AND,66,2,1,1,4,1.0
AND,53,2,1,3,4,1.0
AND,77,1,0,1,4,1.0
AND,46,1,1,5,2,1.0
AND,67,2,1,5,3,1.0
AND,40,2,1,6,3,1.0
AND,31,2,1,5,2,1.0
AND,22,2,1,6,3,1.0
AND,45,2,1,3,4,2.0
AND,33,2,1,7,2,1.0
AND,55,2,1,3,3,1.0
AND,62,2,1,4,3,1.0
AND,41,2,1,3,3,1.0
AND,27,1,0,5,2,1.0
AND,24,2,1,6,4,1.0
AND,67,1,1,8,2,1.0
AND,41,2,1,3,3,1.0
AND,24,1,1,6,2,1.0
AND,46,2,0,3,2,1.0
AND,37,1,1,3,3,1.0
AND,52,1,1,2,2,1.0
AND,51,1,1,1,3,1.0
AND,24,2,0,3,3,1.0
AND,26,2,0,2,4,1.0
AND,21,2,1,5,3,1.0
AND,44,2,1,3,2,1.0
AND,70,2,1,1,2,1.0
AND,49,1,1,4,4,2.0
AND,59,1,1,1,3,1.0
AND,18,2,0,5,3,1.0
AND,62,1,1,2,4,1.0
AND,49,2,1,1,4,1.0
AND,61,2,1,2,3,1.0
AND,58,1,1,6,3,1.0
AND,42,1,1,6,2,1.0
AND,47,2,1,2,4,1.0
AND,41,2,1,5,3,1.0
AND,47,1,0,2,4,1.0
AND,37,1,0,2,4,1.0
AND,41,1,1,5,3,1.0
AND,54,2,1,1,3,1.0
AND,40,2,1,6,3,1.0
AND,33,1,1,5,4,1.0
AND,52,1,1,1,4,1.0
AND,57,2,0,6,3,1.0
AND,58,2,1,7,3,1.0
AND,20,1,1,6,3,1.0
AND,32,2,1,6,3,8.0
AND,73,1,0,6,3,1.0
AND,40,2,1,4,4,1.0
AND,58,2,1,6,3,8.0
AND,48,1,1,6,2,1.0
AND,48,1,0,7,3,1.0
AND,65,2,1,2,3,1.0
AND,40,1,1,3,2,1.0
AND,67,1,6,3,3,3.0
AND,48,1,1,3,3,1.0
AND,86,2,1,1,4,1.0
AND,55,2,1,2,4,1.0
AND,58,2,0,2,3,1.0
AND,80,2,1,5,2,1.0
AND,52,1,0,3,4,1.0
AND,54,2,1,2,4,1.0
AND,62,2,1,4,3,1.0
AND,34,2,0,1,4,1.0
AND,53,2,0,3,2,1.0
AND,27,1,0,6,3,1.0
AND,48,2,1,5,5,1.0
AND,23,2,0,7,2,1.0
AND,46,1,1,4,3,1.0
AND,48,1,1,3,3,1.0
AND,56,2,1,3,3,1.0
AND,43,2,1,5,3,1.0
AND,45,1,1,4,2,1.0
AND,24,2,1,5,3,1.0
AND,27,2,0,4,4,8.0
AND,58,1,1,5,3,8.0
AND,59,1,0,2,3,1.0
AND,49,2,1,2,3,1.0
AND,40,1,1,3,3,1.0
AND,33,1,1,7,2,1.0
AND,52,1,0,3,4,1.0
AND,35,2,1,2,3,1.0
AND,35,1,1,3,3,1.0
AND,50,1,1,6,2,1.0
AND,30,2,0,5,3,1.0
AND,43,2,1,4,4,1.0
AND,49,1,0,7,3,1.0
AND,52,1,1,3,3,1.0
AND,47,1,0,2,4,1.0
AND,70,2,2,7,2,1.0
AND,35,1,0,3,3,4.0
AND,58,2,0,3,4,1.0
AND,72,1,1,6,3,8.0
AND,60,2,1,3,3,1.0
AND,30,2,1,7,3,1.0
AND,41,1,0,7,3,2.0
AND,85,2,1,3,2,1.0
AND,48,1,0,6,3,1.0
AND,20,1,1,6,2,1.0
AND,35,2,0,6,2,4.0
AND,39,1,1,5,2,1.0
AND,38,1,0,2,4,1.0
AND,37,2,0,2,4,1.0
AND,58,2,1,6,3,1.0
AND,55,1,1,6,2,1.0
AND,57,2,1,1,2,1.0
AND,74,2,4,6,2,1.0
AND,38,1,0,6,3,1.0
AND,32,1,1,3,4,1.0
AND,57,2,1,1,4,1.0
AND,22,2,0,6,3,1.0
AND,55,2,0,2,4,1.0
AND,46,1,0,4,3,1.0
AND,42,1,1,3,3,1.0
AND,46,1,0,5,3,1.0
AND,73,1,1,6,2,1.0
AND,53,2,0,3,3,1.0
AND,77,2,1,4,3,1.0
