B_COUNTRY_ALPHA,Q262,Q260,Q289,Q275,Q287,mapped_category
AUS,66,1,8,7,2,1.0
AUS,75,1,1,6,2,1.0
AUS,47,2,0,6,3,1.0
AUS,73,1,1,6,3,1.0
AUS,57,2,3,6,2,1.0
AUS,67,1,0,3,2,1.0
AUS,53,2,1,7,2,1.0
AUS,66,1,7,4,2,1.0
AUS,48,2,0,3,3,1.0
AUS,58,2,1,7,2,1.0
AUS,36,2,0,6,2,1.0
AUS,24,2,3,6,2,1.0
AUS,68,2,1,3,2,1.0
AUS,73,2,8,2,3,1.0
AUS,38,1,1,6,4,6.0
AUS,27,2,0,4,4,1.0
AUS,41,2,1,6,2,1.0
AUS,59,1,0,6,2,1.0
AUS,84,1,4,3,3,1.0
AUS,69,1,8,4,3,1.0
AUS,67,2,8,4,3,1.0
AUS,64,2,2,3,2,1.0
AUS,32,2,0,6,3,1.0
AUS,40,2,1,6,2,1.0
AUS,58,1,0,4,3,1.0
AUS,42,1,0,3,2,1.0
AUS,64,2,0,4,2,1.0
AUS,58,1,0,3,3,1.0
AUS,64,2,1,6,2,1.0
AUS,49,2,1,6,2,1.0
AUS,31,2,0,6,3,1.0
AUS,71,1,8,3,4,1.0
AUS,51,1,0,4,3,1.0
AUS,41,2,1,6,4,1.0
AUS,58,1,0,4,3,1.0
AUS,64,1,0,2,4,1.0
AUS,32,1,0,6,2,1.0
AUS,28,2,2,6,2,1.0
AUS,54,2,1,7,2,1.0
AUS,52,2,8,6,3,1.0
AUS,59,2,0,3,2,1.0
AUS,47,2,0,3,2,1.0
AUS,60,1,1,6,3,3.0
AUS,40,2,8,6,3,1.0
AUS,42,1,1,3,3,1.0
AUS,63,2,0,2,4,1.0
AUS,70,2,0,3,2,1.0
AUS,38,2,0,6,3,3.0
AUS,55,2,1,3,4,1.0
AUS,33,2,5,7,2,5.0
AUS,68,1,0,3,2,1.0
AUS,33,2,0,4,4,1.0
AUS,85,1,1,6,3,1.0
AUS,44,2,1,4,4,1.0
AUS,78,1,1,8,2,1.0
AUS,17,2,8,6,2,8.0
AUS,29,2,3,6,2,1.0
AUS,52,2,0,8,2,1.0
AUS,57,2,0,3,2,1.0
AUS,63,2,1,6,3,1.0
AUS,55,2,4,7,2,1.0
AUS,64,2,8,3,4,1.0
AUS,57,2,1,3,5,1.0
AUS,62,2,1,3,3,1.0
AUS,56,2,9,7,2,1.0
AUS,53,1,1,4,4,1.0
AUS,43,1,0,6,2,3.0
AUS,46,1,3,6,2,1.0
AUS,39,2,0,3,3,1.0
AUS,62,1,0,4,2,1.0
AUS,29,2,1,4,3,8.0
AUS,60,1,8,4,2,1.0
AUS,67,2,0,7,3,1.0
AUS,63,2,1,6,3,1.0
AUS,47,1,0,3,2,1.0
AUS,34,2,0,6,2,1.0
AUS,57,1,8,8,2,4.0
AUS,61,2,1,2,4,1.0
AUS,38,2,1,4,3,1.0
AUS,37,2,6,7,2,3.0
AUS,69,2,8,7,2,1.0
AUS,56,2,8,7,2,1.0
AUS,49,1,8,3,3,1.0
AUS,25,2,0,3,5,1.0
AUS,54,2,1,6,3,1.0
AUS,55,1,1,6,2,1.0
AUS,98,1,0,0,3,1.0
AUS,49,2,0,7,3,1.0
AUS,82,1,0,3,4,1.0
AUS,25,1,6,7,2,3.0
AUS,30,1,1,4,2,1.0
AUS,57,2,0,3,4,1.0
AUS,29,1,6,6,2,3.0
AUS,35,2,1,4,3,1.0
AUS,39,1,0,7,3,4.0
AUS,40,2,0,4,2,1.0
AUS,32,2,0,4,2,1.0
AUS,55,2,5,3,4,5.0
AUS,62,2,0,3,2,1.0
AUS,45,1,0,6,2,4.0
AUS,35,2,1,6,4,1.0
AUS,40,2,0,7,2,1.0
AUS,27,1,7,6,2,4.0
AUS,35,2,0,6,3,1.0
AUS,25,2,0,6,2,4.0
AUS,35,1,0,2,3,1.0
AUS,30,1,0,6,3,1.0
AUS,30,2,0,3,3,1.0
AUS,32,2,0,6,2,1.0
AUS,70,2,1,6,2,1.0
AUS,50,1,8,7,4,4.0
AUS,27,1,0,6,4,4.0
AUS,59,2,1,6,2,1.0
AUS,22,1,0,6,1,1.0
AUS,49,2,8,6,2,1.0
AUS,31,1,9,4,3,3.0
AUS,46,1,8,4,4,3.0
AUS,74,2,0,8,2,1.0
AUS,39,2,0,6,2,8.0
AUS,27,1,7,7,4,4.0
AUS,51,1,8,6,3,1.0
AUS,91,1,0,6,2,1.0
AUS,36,1,0,6,3,4.0
AUS,42,1,0,4,2,1.0
AUS,37,1,1,6,3,4.0
AUS,55,2,0,6,2,1.0
AUS,44,2,0,3,2,1.0
AUS,73,2,0,6,2,1.0
AUS,68,2,8,7,2,1.0
AUS,70,2,1,3,2,1.0
AUS,50,2,1,2,4,1.0
AUS,54,1,0,4,2,1.0
AUS,34,2,0,6,2,1.0
AUS,30,2,0,4,2,1.0
AUS,75,2,1,6,3,1.0
AUS,59,2,8,4,2,1.0
AUS,58,1,1,3,3,1.0
AUS,35,2,1,6,2,1.0
AUS,34,2,0,8,2,1.0
AUS,78,1,0,7,3,1.0
AUS,57,2,0,3,2,1.0
AUS,49,2,0,8,3,1.0
AUS,56,1,0,6,2,1.0
AUS,61,2,1,6,3,1.0
AUS,63,2,1,3,1,1.0
AUS,32,2,0,4,4,1.0
AUS,71,2,8,2,4,1.0
AUS,39,1,0,6,3,1.0
AUS,57,2,0,4,4,1.0
AUS,58,1,1,6,2,1.0
AUS,63,1,0,6,2,1.0
AUS,50,2,0,4,3,1.0
AUS,70,1,0,4,3,1.0
AUS,50,1,1,7,2,1.0
AUS,37,1,0,7,2,1.0
AUS,53,1,8,7,3,1.0
AUS,53,2,0,6,2,1.0
AUS,60,2,1,6,3,1.0
AUS,72,1,1,6,2,1.0
AUS,64,1,0,6,2,1.0
AUS,48,1,1,7,3,1.0
AUS,60,1,0,2,3,1.0
AUS,24,2,5,6,3,6.0
AUS,62,2,0,3,4,1.0
AUS,42,2,8,6,2,1.0
AUS,56,1,8,4,4,1.0
AUS,25,2,0,6,3,1.0
AUS,26,1,8,4,3,3.0
AUS,33,2,1,6,2,1.0
AUS,86,2,8,6,2,1.0
AUS,27,2,0,3,5,1.0
AUS,91,1,8,4,4,1.0
AUS,66,1,1,6,3,1.0
AUS,67,2,1,3,3,1.0
AUS,50,2,0,6,4,1.0
AUS,70,2,0,6,4,1.0
AUS,58,2,0,3,4,1.0
AUS,70,2,8,3,3,1.0
AUS,51,2,0,2,3,1.0
AUS,56,2,0,4,3,1.0
AUS,43,2,2,6,4,1.0
AUS,51,1,0,4,2,1.0
AUS,60,2,7,4,2,4.0
AUS,33,1,8,7,2,4.0
AUS,69,2,1,0,4,1.0
AUS,34,2,0,6,2,4.0
AUS,42,2,0,4,4,1.0
AUS,68,2,8,4,3,1.0
AUS,77,2,1,4,2,1.0
AUS,69,1,0,4,2,1.0
AUS,32,2,0,6,4,1.0
AUS,38,2,0,7,2,8.0
AUS,66,2,0,6,2,1.0
AUS,66,1,0,2,4,1.0
AUS,63,2,1,4,4,1.0
AUS,77,1,0,6,1,1.0
AUS,24,1,0,6,3,1.0
AUS,57,2,0,2,4,1.0
AUS,64,2,0,3,2,1.0
AUS,55,1,0,6,3,1.0
AUS,28,1,0,6,3,1.0
AUS,61,1,2,3,4,1.0
AUS,58,2,0,3,4,1.0
AUS,81,2,7,3,3,1.0
AUS,35,2,1,6,3,1.0
AUS,77,1,0,8,2,1.0
AUS,63,2,1,3,4,1.0
AUS,41,2,8,6,2,8.0
AUS,63,2,1,8,1,1.0
AUS,56,1,8,8,2,1.0
AUS,69,1,1,2,3,1.0
AUS,44,1,0,4,2,1.0
AUS,35,2,2,6,3,1.0
AUS,47,1,1,3,2,1.0
AUS,44,2,7,8,4,4.0
AUS,74,1,5,7,2,5.0
AUS,81,1,1,4,3,1.0
AUS,54,2,1,4,3,1.0
AUS,67,1,0,4,4,1.0
AUS,77,1,1,6,3,1.0
AUS,52,1,0,4,4,1.0
AUS,74,2,0,3,3,1.0
AUS,55,1,1,4,2,1.0
AUS,64,1,0,3,3,1.0
AUS,65,2,2,6,4,1.0
AUS,34,1,0,6,3,1.0
AUS,66,1,0,4,2,1.0
AUS,72,1,0,6,3,1.0
AUS,77,2,8,2,4,1.0
AUS,53,1,1,4,2,1.0
AUS,64,1,0,6,2,1.0
AUS,22,1,0,3,4,1.0
AUS,72,1,8,3,3,1.0
AUS,55,1,7,4,4,6.0
AUS,72,1,8,4,2,1.0
AUS,65,2,1,6,2,1.0
AUS,63,1,4,7,4,1.0
AUS,30,2,0,6,4,1.0
AUS,66,1,8,4,3,1.0
AUS,37,1,0,7,3,1.0
AUS,48,2,0,3,3,1.0
AUS,77,1,0,6,3,1.0
AUS,42,2,0,6,2,1.0
AUS,84,1,0,6,3,1.0
AUS,70,2,0,3,3,1.0
AUS,45,2,0,3,2,1.0
AUS,56,1,8,4,3,8.0
AUS,46,1,0,7,2,1.0
AUS,60,2,0,4,2,1.0
AUS,42,2,0,6,2,1.0
AUS,31,2,0,4,4,1.0
AUS,66,1,0,6,2,1.0
AUS,45,1,0,4,3,1.0
AUS,45,2,8,6,2,3.0
AUS,39,2,0,7,2,1.0
AUS,39,2,0,3,3,1.0
AUS,57,2,0,4,3,1.0
AUS,52,2,8,6,3,1.0
AUS,23,2,0,4,3,1.0
AUS,30,1,7,4,3,4.0
BGD,55,1,5,2,3,3.0
BGD,35,1,5,1,4,3.0
BGD,22,2,5,2,3,3.0
BGD,55,2,5,6,2,3.0
BGD,35,2,5,1,3,3.0
BGD,23,2,5,2,3,3.0
BGD,22,2,6,0,3,3.0
BGD,29,2,5,2,3,3.0
BGD,44,2,5,3,4,3.0
BGD,24,2,5,3,4,3.0
BGD,38,1,5,5,3,3.0
BGD,48,1,5,0,4,3.0
BGD,36,1,5,1,4,3.0
BGD,54,2,5,0,5,3.0
BGD,55,2,5,0,5,3.0
BGD,24,1,5,2,4,3.0
BGD,30,1,5,1,4,3.0
BGD,30,2,5,0,4,3.0
BGD,36,2,5,1,3,3.0
BGD,38,1,5,0,4,3.0
BGD,50,1,5,1,3,3.0
BGD,39,1,5,2,5,3.0
BGD,44,1,5,3,3,3.0
BGD,39,2,6,0,4,3.0
BGD,22,2,6,6,3,3.0
BGD,50,1,5,0,5,3.0
BGD,58,2,6,1,5,3.0
BGD,23,2,5,2,4,3.0
BGD,30,2,5,2,3,3.0
BGD,30,2,5,4,3,3.0
BGD,18,2,5,2,4,3.0
BGD,20,1,5,3,3,3.0
BGD,23,1,5,1,3,3.0
BGD,22,1,5,2,5,3.0
BGD,33,1,5,2,3,3.0
BGD,35,1,5,1,3,3.0
BGD,29,2,5,1,5,3.0
BGD,32,2,5,0,5,3.0
BGD,35,2,5,1,5,3.0
BGD,35,2,5,2,4,3.0
BGD,22,1,5,6,3,3.0
BGD,35,1,5,1,3,3.0
BGD,49,1,5,0,3,3.0
BGD,35,1,5,2,4,3.0
BGD,55,2,5,1,3,3.0
BGD,60,1,5,1,3,3.0
BGD,54,1,5,2,3,3.0
BGD,35,1,5,3,3,3.0
BGD,25,2,5,3,3,3.0
BGD,20,2,5,1,3,3.0
BGD,55,1,5,0,5,3.0
BGD,50,2,5,0,5,3.0
BGD,23,1,5,3,4,3.0
BGD,22,2,5,1,3,3.0
BGD,50,2,5,2,3,3.0
BGD,58,1,5,0,4,3.0
BGD,32,1,5,2,3,3.0
BGD,45,2,5,2,4,3.0
BGD,35,2,5,0,5,3.0
BGD,30,2,5,0,4,3.0
BGD,50,1,5,1,3,3.0
BGD,28,1,5,2,3,3.0
BGD,52,1,5,1,3,3.0
BGD,23,2,5,0,4,3.0
BGD,30,2,5,2,3,3.0
BGD,24,1,5,6,4,3.0
BGD,19,1,5,1,4,3.0
BGD,48,1,5,6,4,3.0
BGD,34,1,5,2,3,3.0
BGD,30,1,5,2,4,3.0
BGD,70,1,5,1,3,3.0
BGD,45,2,5,1,3,3.0
BGD,35,1,5,2,3,3.0
BGD,18,2,5,2,3,3.0
BGD,45,2,6,2,3,3.0
BGD,26,2,5,0,4,3.0
BGD,28,2,5,2,4,3.0
BGD,28,2,5,2,4,3.0
BGD,40,1,5,0,4,3.0
BGD,36,2,6,2,3,3.0
BGD,19,2,5,3,3,3.0
BGD,36,1,5,0,3,3.0
BGD,40,1,5,1,3,3.0
BGD,46,2,5,1,4,3.0
BGD,44,2,5,2,4,3.0
BGD,50,1,5,3,2,3.0
BGD,45,2,5,0,4,3.0
BGD,30,1,5,4,3,3.0
BGD,62,1,5,0,4,3.0
BGD,28,2,5,2,3,3.0
BGD,30,2,5,2,5,3.0
BGD,35,2,5,1,3,3.0
BGD,55,1,5,1,3,3.0
BGD,60,1,5,2,3,3.0
BGD,26,2,5,1,4,3.0
BGD,29,1,5,3,4,3.0
BGD,28,2,5,2,4,3.0
BGD,20,2,5,2,4,3.0
BGD,25,2,5,3,4,3.0
BGD,30,1,5,1,5,3.0
BGD,42,2,5,7,3,3.0
BGD,30,1,6,2,2,3.0
BGD,46,1,6,2,5,3.0
BGD,30,2,5,1,5,3.0
BGD,37,1,6,2,3,3.0
BGD,58,2,5,0,3,3.0
BGD,35,1,6,1,5,3.0
BGD,38,2,5,2,3,3.0
BGD,30,2,5,1,5,3.0
BGD,50,2,6,2,3,3.0
BGD,46,1,6,6,3,3.0
BGD,25,1,5,2,4,3.0
BGD,60,1,5,7,3,3.0
BGD,48,1,5,0,4,3.0
BGD,38,2,5,1,3,3.0
BGD,28,2,5,2,3,3.0
BGD,36,1,5,3,3,3.0
BGD,62,2,6,2,4,3.0
BGD,40,1,5,7,3,3.0
BGD,24,1,5,1,3,3.0
BGD,27,2,5,1,4,3.0
BGD,42,1,5,1,4,3.0
BGD,18,1,5,0,3,3.0
BGD,27,1,5,2,3,3.0
BGD,24,2,6,5,2,3.0
BGD,30,2,5,3,3,3.0
BGD,21,2,5,2,3,3.0
BGD,56,2,5,1,3,3.0
BGD,50,2,5,0,4,3.0
BGD,20,2,5,2,4,3.0
BGD,18,2,5,2,3,3.0
BGD,25,2,5,2,3,3.0
BGD,21,2,5,1,4,3.0
BGD,25,2,5,0,4,3.0
BGD,24,1,5,2,3,3.0
BGD,70,1,6,2,3,3.0
BGD,32,1,5,2,3,3.0
BGD,57,1,6,0,3,3.0
BGD,45,2,5,0,4,3.0
BGD,30,2,5,3,3,3.0
BGD,28,2,5,2,3,3.0
BGD,35,2,5,1,4,3.0
BGD,60,1,5,0,4,3.0
BGD,44,2,5,0,4,3.0
BGD,42,1,5,1,3,3.0
BGD,23,1,5,2,4,3.0
BGD,34,1,5,7,3,3.0
BGD,63,1,5,2,3,3.0
BGD,70,1,5,1,4,3.0
BGD,25,2,5,1,4,3.0
BGD,38,2,5,1,4,3.0
BGD,42,1,5,6,3,3.0
BGD,32,2,5,0,4,3.0
BGD,27,2,5,6,2,3.0
BGD,20,2,5,2,2,3.0
BGD,32,2,5,2,3,3.0
BGD,23,2,5,3,3,3.0
BGD,30,2,5,1,3,3.0
BGD,35,2,5,5,2,3.0
BGD,28,2,5,2,3,3.0
BGD,38,1,5,6,4,3.0
BGD,48,1,5,2,2,3.0
BGD,40,2,5,7,3,3.0
BGD,55,1,5,6,3,3.0
BGD,70,1,5,1,3,3.0
BGD,32,2,5,2,4,3.0
BGD,32,2,5,2,3,3.0
BGD,35,2,5,1,3,3.0
BGD,45,1,5,3,3,3.0
BGD,45,1,5,6,4,3.0
BGD,40,1,5,2,4,3.0
BGD,23,2,5,2,5,3.0
BGD,18,1,5,3,4,3.0
BGD,55,1,5,1,4,3.0
BGD,34,2,5,2,4,3.0
BGD,20,2,5,3,3,3.0
BGD,25,2,6,2,3,3.0
BGD,37,2,5,6,4,3.0
BGD,28,2,5,1,4,3.0
BGD,30,1,5,2,3,3.0
BGD,25,2,5,2,3,3.0
BGD,50,1,5,1,3,3.0
BGD,60,1,5,0,3,3.0
BGD,28,2,5,2,3,3.0
BGD,32,2,5,0,4,3.0
BGD,65,1,5,2,4,3.0
BGD,48,2,5,1,4,3.0
BGD,25,2,5,2,5,3.0
BGD,18,2,5,2,5,3.0
BGD,30,2,5,1,5,3.0
BGD,19,2,5,3,3,3.0
BGD,40,1,6,0,3,3.0
BGD,31,2,6,3,3,3.0
BGD,60,2,6,2,2,3.0
BGD,25,2,6,2,3,3.0
BGD,36,2,6,2,3,3.0
BGD,52,1,5,0,4,3.0
BGD,19,2,6,3,3,3.0
BGD,39,1,6,3,3,3.0
BGD,53,1,5,0,4,3.0
BGD,40,1,5,3,3,3.0
BGD,42,1,5,2,5,3.0
BGD,31,2,5,1,5,3.0
BGD,36,2,5,0,5,3.0
BGD,40,2,5,2,5,3.0
BGD,38,1,5,1,4,3.0
BGD,32,2,5,1,5,3.0
BGD,35,1,5,1,4,3.0
BGD,40,1,5,2,5,3.0
BGD,48,1,5,1,4,3.0
BGD,32,1,5,1,4,3.0
BGD,25,2,6,2,3,3.0
BGD,30,2,6,2,4,3.0
BGD,26,2,6,1,4,3.0
BGD,22,2,5,3,3,3.0
BGD,26,2,6,4,4,3.0
BGD,58,1,6,2,4,3.0
BGD,36,1,6,2,1,3.0
BGD,45,1,6,2,4,3.0
BGD,60,1,6,0,4,3.0
BGD,38,1,6,5,5,3.0
BGD,24,2,5,2,4,3.0
BGD,19,2,5,3,3,3.0
BGD,19,1,5,2,3,3.0
BGD,48,1,5,1,3,3.0
BGD,32,1,5,2,3,3.0
BGD,28,2,5,2,3,3.0
BGD,35,2,5,1,3,3.0
BGD,18,2,5,3,5,3.0
BGD,40,2,5,2,3,3.0
BGD,28,2,5,2,3,3.0
BGD,44,1,5,2,4,3.0
BGD,21,1,5,1,5,3.0
BGD,38,1,5,2,4,3.0
BGD,30,1,5,1,4,3.0
BGD,39,1,5,2,3,3.0
BGD,36,1,6,3,4,3.0
BGD,26,2,5,2,3,3.0
BGD,60,1,5,3,2,3.0
BGD,45,1,5,1,4,3.0
BGD,45,1,5,2,5,3.0
BGD,40,1,5,1,3,3.0
BGD,50,2,6,1,4,3.0
BGD,28,2,5,7,3,3.0
BGD,45,2,5,1,3,3.0
BGD,30,2,5,1,4,3.0
BGD,45,2,5,1,4,3.0
BGD,40,1,5,1,4,3.0
BGD,45,2,6,0,3,3.0
BGD,50,1,6,0,4,3.0
BGD,36,1,6,0,3,3.0
BGD,33,1,5,7,3,3.0
BGD,51,1,5,1,3,3.0
BGD,37,1,5,3,3,3.0
BGD,21,2,5,6,3,3.0
BGD,37,2,5,2,3,3.0
BGD,20,2,5,3,3,3.0
BGD,35,2,5,0,3,3.0
BGD,30,1,5,3,5,3.0
BGD,40,1,5,1,3,3.0
BGD,50,2,5,0,4,3.0
BGD,50,2,5,2,5,3.0
BGD,37,1,5,1,4,3.0
BGD,35,2,5,2,3,3.0
BGD,20,2,5,3,3,3.0
BGD,45,1,5,0,4,3.0
BGD,58,2,5,1,4,3.0
BGD,35,1,5,0,4,3.0
BGD,42,2,5,2,3,3.0
BGD,24,1,5,2,5,3.0
BGD,27,2,5,7,2,3.0
BGD,39,1,5,2,3,3.0
BGD,30,2,5,2,5,3.0
BGD,46,1,5,2,2,3.0
BGD,59,1,5,3,2,3.0
BGD,25,1,5,3,3,3.0
BGD,40,2,5,1,4,3.0
BGD,40,2,5,1,3,3.0
BGD,35,2,5,3,3,3.0
BGD,35,2,5,1,5,3.0
BGD,38,1,5,2,5,3.0
BGD,25,2,5,6,4,3.0
BGD,27,1,5,3,3,3.0
BGD,18,2,5,3,4,3.0
BGD,23,1,6,3,3,3.0
BGD,60,1,6,1,3,3.0
BGD,29,2,5,2,4,3.0
BGD,34,2,5,3,3,3.0
BGD,18,2,5,3,3,3.0
BGD,22,2,5,6,4,3.0
BGD,27,2,5,2,3,3.0
BGD,45,2,5,3,3,3.0
BGD,20,1,5,3,5,3.0
BGD,47,2,5,1,3,3.0
BGD,20,1,5,3,3,3.0
BGD,45,1,5,3,3,3.0
BGD,44,2,5,0,4,3.0
BGD,25,2,5,2,5,3.0
BGD,26,2,5,2,4,3.0
BGD,35,2,5,3,3,3.0
BGD,47,2,5,2,3,3.0
BGD,61,1,6,2,3,3.0
BGD,38,1,5,1,5,3.0
BGD,60,1,6,1,5,3.0
BGD,64,1,6,2,3,3.0
BGD,56,1,5,6,3,3.0
BGD,64,1,5,1,4,3.0
BGD,45,2,5,0,5,3.0
BGD,55,2,5,0,4,3.0
BGD,25,2,5,2,3,3.0
BGD,20,2,5,1,4,3.0
BGD,65,2,5,0,4,3.0
BGD,20,2,5,2,3,3.0
BGD,50,1,5,2,3,3.0
BGD,46,1,5,0,4,3.0
BGD,65,1,5,2,3,3.0
BGD,44,1,5,2,4,3.0
BGD,65,1,5,1,4,3.0
BGD,18,1,5,2,4,3.0
BGD,22,2,5,3,3,3.0
BGD,22,2,5,3,4,3.0
BGD,30,2,5,1,5,3.0
BGD,21,1,5,2,4,3.0
BGD,60,1,5,0,4,3.0
BGD,70,1,6,6,3,3.0
BGD,34,1,5,7,3,3.0
BGD,18,2,5,2,4,3.0
BGD,27,2,5,7,3,3.0
BGD,22,2,5,2,4,3.0
BGD,50,1,5,1,3,3.0
BGD,70,2,5,0,3,3.0
BGD,28,1,5,6,4,3.0
BGD,32,2,5,2,3,3.0
BGD,55,1,5,1,5,3.0
BGD,19,2,5,2,3,3.0
BGD,45,1,5,0,4,3.0
BGD,27,2,5,2,4,3.0
BGD,23,2,5,2,3,3.0
BGD,48,1,5,1,4,3.0
BGD,40,1,5,2,3,3.0
BGD,35,1,5,0,4,3.0
BGD,27,1,5,2,3,3.0
BGD,55,1,5,1,4,3.0
BGD,48,1,5,0,4,3.0
BGD,45,1,5,0,4,3.0
BGD,32,2,5,1,3,3.0
BGD,48,1,5,1,4,3.0
BGD,35,2,5,1,4,3.0
BGD,48,2,5,1,4,3.0
BGD,50,1,5,1,5,3.0
BGD,19,1,5,1,4,3.0
BGD,55,1,5,1,3,3.0
BGD,19,1,5,3,3,3.0
BGD,40,1,5,1,4,3.0
BGD,23,2,5,2,4,3.0
BGD,32,2,5,0,4,3.0
BGD,25,2,5,0,5,3.0
BGD,21,2,5,6,3,3.0
BGD,30,2,5,1,3,3.0
BGD,32,1,5,1,4,3.0
BGD,51,1,6,2,2,3.0
BGD,33,2,5,0,3,3.0
BGD,35,2,6,2,4,3.0
BGD,35,1,5,3,3,3.0
BGD,40,2,5,2,4,3.0
BGD,60,1,5,0,4,3.0
BGD,21,2,5,2,4,3.0
BGD,55,1,5,1,3,3.0
BGD,34,2,5,1,3,3.0
BGD,36,1,5,0,4,3.0
BGD,31,2,5,1,4,3.0
BGD,22,2,5,3,4,3.0
BGD,33,2,5,3,3,3.0
BGD,53,1,5,3,4,3.0
BGD,36,2,5,2,3,3.0
BGD,24,2,5,2,3,3.0
BGD,39,1,5,3,3,3.0
BGD,28,1,5,7,4,3.0
BGD,32,1,5,1,4,3.0
BGD,47,1,5,2,4,3.0
BGD,24,1,5,6,3,3.0
BGD,21,2,6,2,3,3.0
BGD,30,2,5,2,4,3.0
BGD,45,2,5,0,4,3.0
BGD,19,2,5,5,3,3.0
BGD,50,1,5,2,4,3.0
BGD,45,1,5,2,4,3.0
BGD,25,1,5,2,4,3.0
BGD,45,1,5,0,3,3.0
BGD,50,1,5,1,3,3.0
BGD,40,1,5,1,4,3.0
BGD,25,1,5,2,4,3.0
BGD,23,2,5,2,4,3.0
BGD,35,2,5,1,4,3.0
BGD,37,2,5,1,4,3.0
BGD,27,2,5,2,4,3.0
BGD,26,1,5,1,5,3.0
BGD,60,1,5,0,4,3.0
BGD,58,1,5,2,3,3.0
BGD,24,1,6,3,5,3.0
BGD,18,2,5,2,3,3.0
BGD,22,2,6,3,3,3.0
BGD,35,2,5,2,3,3.0
BGD,35,2,5,2,3,3.0
BGD,33,2,5,2,4,3.0
BGD,42,1,5,1,3,3.0
BGD,18,1,5,2,3,3.0
BGD,25,1,5,2,3,3.0
BGD,32,2,5,2,4,3.0
BGD,30,2,5,1,3,3.0
BGD,60,2,5,1,3,3.0
BGD,40,2,5,1,4,3.0
BGD,26,2,5,1,3,3.0
BGD,45,2,5,1,3,3.0
BGD,35,1,5,2,3,3.0
BGD,20,2,5,2,3,3.0
BGD,18,2,5,3,3,3.0
BGD,55,2,5,0,5,3.0
BGD,48,2,5,2,3,3.0
BGD,45,2,5,1,4,3.0
BGD,40,1,5,1,4,3.0
BGD,32,1,5,0,4,3.0
BGD,70,1,5,1,4,3.0
BGD,55,1,5,0,5,3.0
BGD,26,1,5,0,4,3.0
BGD,29,2,5,2,4,3.0
BGD,48,2,5,1,3,3.0
BGD,38,1,6,1,4,3.0
BGD,50,2,5,1,4,3.0
BGD,30,1,5,7,3,3.0
BGD,34,1,5,7,2,3.0
BGD,23,2,5,6,4,3.0
BGD,60,1,6,6,3,3.0
BGD,26,2,5,2,4,3.0
BGD,57,1,6,1,4,3.0
BGD,63,1,6,5,3,3.0
BGD,48,1,5,3,3,3.0
BGD,19,1,5,1,3,3.0
BGD,52,1,6,3,3,3.0
BGD,43,1,5,1,3,3.0
BGD,32,2,6,1,3,3.0
BGD,70,1,5,2,4,3.0
BGD,51,1,5,6,2,3.0
BGD,48,1,5,0,4,3.0
BGD,26,2,5,2,3,3.0
BGD,40,2,6,2,4,3.0
BGD,19,2,6,6,3,3.0
BGD,47,1,5,7,3,3.0
BGD,70,1,6,0,4,3.0
BGD,35,1,5,1,4,3.0
BGD,29,1,6,1,4,3.0
BGD,48,1,5,6,3,3.0
BGD,40,1,5,2,3,3.0
BGD,39,1,5,2,4,3.0
BGD,30,1,5,6,3,3.0
BGD,38,2,5,3,3,3.0
BGD,30,2,5,1,3,3.0
BGD,35,2,5,2,3,3.0
BGD,39,2,5,2,5,3.0
BGD,35,2,5,1,3,3.0
BGD,30,2,5,2,3,3.0
BGD,35,2,5,2,3,3.0
BGD,50,2,5,0,4,3.0
BGD,42,2,5,0,3,3.0
BGD,55,2,5,1,3,3.0
BGD,55,1,5,2,3,3.0
BGD,30,1,5,2,4,3.0
BGD,18,1,5,2,4,3.0
BGD,33,1,5,2,3,3.0
BGD,18,1,5,2,4,3.0
BGD,29,2,5,2,3,3.0
BGD,61,2,5,2,2,3.0
BGD,20,1,5,2,4,3.0
BGD,40,1,6,2,3,3.0
BGD,38,1,5,1,4,3.0
BGD,56,1,5,2,4,3.0
BGD,27,1,5,3,3,3.0
BGD,47,1,6,3,3,3.0
BGD,26,1,5,6,2,3.0
BGD,52,1,5,1,4,3.0
BGD,19,2,6,6,5,3.0
BGD,26,2,5,2,4,3.0
BGD,20,2,5,2,3,3.0
BGD,45,1,5,3,3,3.0
BGD,35,2,5,0,3,3.0
BGD,24,2,6,1,4,3.0
BGD,22,2,5,2,3,3.0
BGD,18,1,5,2,3,3.0
BGD,26,1,6,7,3,3.0
BGD,45,1,5,2,3,3.0
BGD,48,1,5,2,3,3.0
BGD,56,1,5,0,4,3.0
BGD,20,1,5,6,4,3.0
BGD,37,1,5,3,3,3.0
BGD,40,1,5,3,4,3.0
BGD,24,2,5,1,4,3.0
BGD,26,2,5,1,4,3.0
BGD,20,2,5,1,4,3.0
BGD,28,1,5,6,3,3.0
BGD,30,1,5,2,4,3.0
BGD,36,1,5,2,4,3.0
BGD,40,1,5,1,4,3.0
BGD,35,2,5,1,4,3.0
BGD,35,1,5,1,3,3.0
BGD,29,2,5,2,4,3.0
BGD,24,2,5,2,4,3.0
BGD,28,1,5,0,4,3.0
BGD,35,2,5,2,3,3.0
BGD,62,1,5,6,3,3.0
BGD,19,2,5,3,4,3.0
BGD,48,1,5,2,4,3.0
BGD,33,1,5,2,3,3.0
BGD,28,1,5,2,3,3.0
BGD,62,1,5,2,4,3.0
BGD,18,1,5,3,3,3.0
