Q1,Q2,Q3,Q4,Q5,Q6,Q29,Q37,Q41,Q59,Q60,Q63,Q75,Q90,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q159,Q160,Q178,Q182,Q184,Q185,Q186,Q187,Q188,Q189,Q195,Q196,Q197,Q260,Q262,Q275,Q287,Q289,Q290,B_COUNTRY_ALPHA
1,1,1,3,1,4,3,4,3,2,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,6,7,1,4,2,5,4,1,1,1,1,2,4,2,60,3,3,1,20001,AND
1,1,1,4,1,4,3,4,2,2,2,2,2,6,0,2,2,0,0,0,0,0,0,0,0,9,9,1,9,9,9,10,1,9,1,1,1,4,1,47,7,2,1,20001,AND
1,2,2,2,3,3,3,4,4,3,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,6,8,1,10,5,6,6,5,8,1,2,4,4,1,48,7,3,1,20001,AND
1,1,1,4,2,4,4,4,4,2,3,3,-2,1,0,0,0,0,0,0,0,0,0,0,0,6,5,1,6,4,9,10,3,3,1,1,2,4,2,62,2,4,0,20001,AND
1,1,1,3,1,3,3,3,4,2,2,3,-2,2,0,0,0,0,0,0,0,0,0,0,0,7,6,1,8,5,7,8,1,5,1,1,1,4,1,49,2,4,0,20001,AND
1,3,1,4,1,3,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,1,10,10,1,1,1,1,4,4,2,51,1,4,1,20001,AND
1,2,1,4,1,2,4,5,5,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,5,10,1,10,10,10,10,1,10,1,5,1,4,2,33,1,4,1,20001,AND
1,1,1,1,1,3,4,5,3,2,3,3,3,4,0,0,0,0,0,0,0,2,0,2,2,9,6,1,10,6,10,10,10,10,1,6,1,4,1,55,4,2,1,20001,AND
2,2,1,1,2,1,4,5,5,2,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0,8,8,1,8,5,5,7,1,8,1,5,4,4,2,40,1,4,0,20001,AND
1,1,2,4,2,2,3,3,5,2,2,1,2,10,2,0,0,0,0,0,0,0,0,0,0,8,10,1,10,8,-2,8,1,8,1,8,1,4,2,38,5,3,1,20001,AND
1,1,1,4,1,1,3,1,1,3,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,7,9,1,7,4,8,4,1,4,1,1,1,4,1,54,3,3,2,20001,AND
1,1,1,2,1,2,3,2,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7,8,1,1,7,5,1,1,1,1,1,1,4,1,39,7,2,1,20999,AND
1,2,2,3,2,4,4,5,5,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,7,8,1,10,10,10,10,10,10,1,10,4,4,2,44,1,4,1,20001,AND
1,1,1,3,1,3,4,5,4,2,1,1,2,5,1,0,0,0,0,0,2,2,0,0,0,5,5,1,10,10,10,10,3,10,1,1,1,4,2,53,6,2,1,20001,AND
1,3,1,4,1,2,2,1,1,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,9,9,1,10,10,10,5,1,10,1,10,1,4,2,43,1,4,1,20001,AND
