Q1,Q2,Q3,Q4,Q5,Q6,Q29,Q37,Q41,Q59,Q60,Q63,Q75,Q90,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q159,Q160,Q178,Q182,Q184,Q185,Q186,Q187,Q188,Q189,Q195,Q196,Q197,Q260,Q262,Q275,Q287,Q289,Q290,B_COUNTRY_ALPHA
1,3,2,4,1,2,4,5,5,3,2,2,2,5,2,2,0,0,0,1,1,1,1,1,1,10,10,5,10,1,10,10,6,10,1,5,4,4,1,33,1,4,1,20001,AND
1,2,2,4,1,4,4,5,5,4,1,2,4,5,0,2,0,0,0,0,0,0,0,0,0,4,4,1,10,5,10,10,1,7,1,1,4,4,1,21,1,4,0,20001,AND
1,3,1,4,1,2,4,5,5,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,5,10,1,10,10,10,10,1,5,1,1,4,4,2,61,3,4,1,20001,AND
1,1,1,1,1,1,4,2,2,3,2,2,1,2,0,2,2,0,0,0,2,0,0,2,0,8,6,1,6,1,7,6,1,3,1,1,1,4,2,47,7,2,1,20999,AND
1,1,1,4,1,3,4,5,1,3,3,4,3,5,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,1,1,1,1,1,1,1,2,51,1,5,1,20001,AND
1,1,1,4,2,3,4,5,5,2,2,2,2,6,1,2,2,2,2,0,2,2,2,0,2,10,5,1,4,4,10,10,2,5,1,1,4,4,2,43,6,3,1,20001,AND
1,1,1,3,1,4,4,5,5,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,10,10,10,10,10,7,1,5,1,4,2,38,3,3,0,20001,AND
1,1,1,4,1,4,4,1,2,2,2,-2,2,5,0,2,0,0,0,0,0,0,0,0,0,5,10,7,1,1,7,6,5,-2,1,1,3,4,2,30,2,2,0,20001,AND
1,1,2,3,2,4,4,5,4,2,1,2,1,9,0,2,0,0,0,0,0,0,0,0,0,9,2,1,10,10,10,10,8,9,1,1,1,4,1,18,3,2,0,20001,AND
2,1,3,3,2,4,4,5,4,4,1,2,2,8,0,0,2,0,0,0,0,0,0,0,0,4,3,2,10,10,10,10,10,10,1,3,4,4,2,18,4,3,0,20001,AND
1,2,2,3,1,2,4,4,2,2,2,3,2,1,2,2,1,0,0,0,0,0,0,0,0,10,10,1,10,5,10,10,1,10,1,5,4,4,1,39,3,4,2,20001,AND
1,2,1,3,2,2,4,5,1,2,1,4,1,2,1,0,2,0,0,0,0,0,0,0,0,5,10,1,10,10,10,10,1,10,1,1,1,4,2,63,1,4,1,20001,AND
1,1,1,3,2,4,4,5,5,2,1,3,1,5,0,1,1,0,0,0,0,1,0,0,0,6,1,1,5,9,10,10,5,9,1,5,3,4,2,66,6,2,1,20001,AND
1,2,1,3,1,3,4,4,4,3,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,10,1,1,10,4,10,10,1,5,1,1,4,4,2,48,2,4,1,20001,AND
1,1,1,4,1,4,4,4,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,6,5,1,2,4,9,9,1,10,1,4,4,4,1,60,5,4,0,20001,AND
1,1,1,4,1,2,3,4,2,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,7,7,1,8,1,1,4,1,1,1,1,1,1,2,60,2,3,1,20001,AND
1,2,1,3,1,2,3,2,3,3,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,6,5,-2,1,1,4,10,1,4,1,4,2,4,1,70,2,3,1,20001,AND
1,1,1,4,2,4,3,4,4,3,3,3,-2,3,0,0,0,0,0,0,0,0,0,0,0,6,5,1,7,4,7,4,1,3,1,4,2,4,1,66,2,4,0,20001,AND
1,1,1,4,1,1,3,3,4,1,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,9,9,1,9,5,5,7,1,1,1,1,1,4,2,41,5,4,2,20001,AND
1,2,1,3,2,3,3,2,4,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,5,5,1,10,3,10,1,1,5,1,6,1,1,1,43,5,3,0,20001,AND
1,2,1,4,1,3,3,1,1,3,3,4,2,8,0,0,0,0,0,0,0,0,0,0,0,10,10,8,1,1,1,1,1,1,1,1,2,3,1,58,1,2,1,20001,AND
1,2,1,1,2,4,4,5,5,2,2,2,2,10,0,0,1,0,0,1,2,1,0,0,0,10,1,3,10,9,9,10,9,10,1,1,2,4,1,51,7,3,0,20001,AND
1,3,2,1,1,3,4,4,3,2,2,3,2,10,0,0,0,0,0,0,0,0,0,0,2,7,1,1,5,10,10,10,10,10,1,1,3,3,2,71,3,3,1,20001,AND
1,1,1,2,2,2,4,4,4,1,1,1,2,4,1,0,0,0,1,0,0,0,0,0,0,5,5,7,9,3,9,10,4,3,1,4,2,4,1,51,6,3,1,20001,AND
1,1,2,3,2,4,3,4,2,4,2,2,2,5,0,0,0,0,0,0,0,2,0,0,0,5,5,5,10,5,10,5,3,10,1,3,3,3,2,60,3,4,0,20001,AND
1,1,2,2,1,3,4,5,4,3,2,2,2,8,0,0,0,0,0,0,0,2,0,0,0,6,3,5,10,8,9,10,2,8,1,8,2,3,2,54,2,5,1,20001,AND
2,1,1,2,2,4,4,5,5,2,1,2,2,2,0,0,0,0,0,0,0,0,2,0,0,8,4,2,10,10,10,10,10,10,1,2,2,4,2,55,3,4,0,20001,AND
1,1,1,1,1,3,4,5,4,1,1,2,2,4,0,0,2,0,0,1,2,2,0,0,0,7,2,2,10,9,10,10,7,8,1,1,3,4,1,53,6,2,0,20001,AND
1,1,1,2,2,4,3,3,4,3,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,10,1,1,10,10,10,10,5,5,1,1,2,4,1,47,7,4,0,20001,AND
1,1,1,2,1,3,3,4,2,1,1,2,-2,5,0,0,2,0,0,0,0,0,0,0,0,5,7,1,9,5,10,10,4,10,1,5,3,4,1,43,7,3,0,20002,AND
1,2,1,2,1,3,4,4,3,2,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,5,1,1,10,10,10,10,5,10,1,1,3,4,2,47,6,4,1,20001,AND
1,1,2,4,2,4,4,5,4,2,1,2,2,7,0,1,1,0,0,0,0,2,0,2,0,7,4,4,10,6,8,10,6,7,1,2,2,3,2,29,7,3,0,20001,AND
1,1,1,2,2,3,4,5,4,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,2,7,2,7,10,10,10,10,4,9,1,2,3,3,2,29,6,2,0,20001,AND
1,1,1,4,2,4,4,4,5,4,4,4,4,10,0,2,0,0,0,0,0,0,0,0,2,1,10,5,5,10,10,6,1,10,1,7,2,4,2,27,3,4,1,20001,AND
1,1,1,2,1,2,4,3,3,1,1,1,4,8,0,0,1,0,0,0,0,0,0,0,0,8,7,5,10,5,10,10,5,5,1,7,2,3,2,66,1,4,1,20001,AND
2,1,1,3,2,4,4,3,3,2,2,2,2,4,0,0,0,0,0,0,0,1,0,0,2,5,7,2,10,10,9,10,8,10,1,1,2,4,2,61,5,3,1,20001,AND
1,1,1,2,2,3,4,4,4,4,3,3,2,10,0,0,0,0,0,0,0,0,0,0,0,10,1,5,10,6,10,10,1,4,1,6,3,4,2,27,4,3,1,20001,AND
1,1,1,2,1,4,4,5,5,2,1,2,2,6,0,0,0,0,1,0,0,0,0,0,2,6,1,4,10,10,10,10,4,8,1,2,3,4,2,30,7,2,0,20001,AND
2,2,1,3,2,4,4,5,5,2,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,5,3,3,10,8,10,10,8,9,1,3,3,4,1,49,4,3,0,20001,AND
1,1,1,2,2,4,3,3,4,3,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,4,2,3,10,8,10,10,10,8,1,1,2,3,1,26,5,3,0,20001,AND
1,2,2,4,1,2,2,5,3,3,2,3,2,7,0,0,0,0,0,0,0,0,0,0,0,10,7,1,5,1,10,10,1,1,1,7,4,4,2,41,6,3,3,20001,AND
1,1,2,1,1,3,3,4,4,2,1,1,2,5,0,0,0,0,0,0,0,2,0,0,0,7,8,4,9,9,9,9,7,8,4,4,4,4,2,71,5,3,1,20001,AND
1,2,2,3,1,4,3,4,4,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,9,7,1,1,10,10,6,6,9,1,1,2,4,2,58,1,4,1,20001,AND
1,1,1,2,2,4,4,4,2,3,1,2,2,5,0,0,0,0,0,0,0,1,0,0,0,4,8,4,8,8,8,8,4,9,4,4,2,4,2,60,4,3,1,20001,AND
1,2,1,3,2,4,3,3,4,2,2,2,2,8,0,0,0,0,0,0,0,1,0,0,0,5,7,2,9,8,9,9,5,9,4,4,4,4,1,37,3,3,1,20001,AND
1,2,2,4,1,2,4,3,4,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,10,5,1,6,6,8,1,1,6,1,6,1,3,2,58,2,4,1,20001,AND
1,1,1,4,2,4,3,3,4,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,8,8,2,10,10,10,10,5,5,1,5,3,4,1,32,6,3,0,20001,AND
1,2,2,4,1,4,4,3,1,3,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,10,10,1,10,5,10,10,2,10,1,7,2,4,1,28,2,3,0,20001,AND
1,2,1,4,1,4,3,5,4,4,3,2,1,2,0,1,1,0,0,0,0,0,0,0,0,10,8,1,6,6,9,1,1,1,1,9,1,2,1,48,3,3,1,20001,AND
1,3,2,2,1,4,3,3,2,2,3,3,2,2,0,2,2,1,0,0,1,0,0,0,0,9,10,5,10,10,10,9,1,1,1,1,2,3,1,37,7,2,1,20001,AND
1,1,2,4,1,2,4,5,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,9,5,1,10,10,10,1,2,4,1,4,2,4,2,35,2,4,1,20001,AND
1,3,1,3,1,4,4,5,4,3,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,9,8,3,10,10,10,10,1,5,1,1,3,4,2,31,3,3,0,20001,AND
1,2,1,2,1,4,4,4,4,3,1,1,4,3,0,0,0,0,0,0,2,0,0,0,1,8,1,1,9,10,9,10,6,-2,1,1,2,4,2,47,6,3,0,20999,AND
1,2,2,2,2,3,4,5,4,3,4,3,2,9,0,0,0,0,0,2,0,0,0,0,0,10,1,4,10,9,9,10,7,9,1,5,2,4,1,27,7,3,1,20001,AND
1,1,1,3,1,3,3,4,3,2,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,3,5,2,10,6,10,10,5,5,10,1,3,3,2,57,6,3,0,20001,AND
3,2,1,2,4,4,4,5,4,3,1,2,2,5,0,0,1,0,1,0,2,2,0,0,0,6,1,8,10,10,10,10,10,10,2,4,2,4,1,34,7,2,0,20001,AND
1,1,1,4,1,1,4,4,1,1,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,10,10,1,10,3,10,1,1,1,1,3,1,4,2,55,3,4,1,20001,AND
1,1,2,4,1,4,4,4,4,1,1,2,1,1,0,2,0,0,0,0,1,1,0,0,0,10,10,1,10,10,10,10,6,8,1,1,1,4,2,22,7,3,0,20001,AND
1,1,1,3,2,3,4,4,3,2,1,3,3,1,1,1,1,0,0,0,0,0,0,0,0,5,5,1,10,10,10,10,10,10,1,1,4,4,2,55,3,3,1,20001,AND
1,2,2,4,2,4,4,5,5,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,8,2,1,10,6,10,10,6,10,1,5,4,4,2,51,4,4,0,20001,AND
1,1,1,4,1,4,2,5,2,1,1,2,1,5,2,0,0,0,0,0,0,0,0,0,0,10,5,1,2,5,7,6,1,3,1,1,1,4,2,86,1,4,1,20001,AND
1,2,2,1,2,4,4,5,1,4,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,8,5,4,10,6,10,10,6,8,1,7,1,4,2,18,4,2,1,20001,AND
1,2,1,2,1,4,4,5,3,3,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,8,1,2,10,8,10,10,8,8,1,7,2,4,1,32,3,3,0,20001,AND
1,3,1,4,4,1,1,1,1,4,3,4,2,10,1,0,0,0,0,0,0,0,0,0,0,10,10,1,10,2,10,10,1,10,1,1,4,4,2,72,1,4,1,20001,AND
1,2,2,4,1,2,1,4,1,3,2,3,1,5,1,0,0,0,0,0,0,0,0,0,0,7,7,1,3,10,10,10,1,1,1,3,4,4,2,40,2,3,1,20001,AND
1,1,2,4,2,1,4,5,1,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,10,10,1,10,6,10,10,6,10,1,10,1,4,2,48,2,3,1,20001,AND
1,2,2,4,1,3,3,4,1,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,10,10,1,10,10,10,10,10,10,10,1,4,4,2,57,2,4,1,20001,AND
1,3,2,2,1,4,4,4,4,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,6,6,1,6,6,6,1,1,1,1,7,4,4,1,22,3,3,1,20001,AND
1,3,1,4,4,1,1,5,1,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,10,10,2,6,10,6,10,1,5,1,1,4,4,2,64,1,3,1,20001,AND
1,3,2,4,1,3,4,5,1,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,3,10,1,10,3,6,10,1,3,1,2,1,4,2,47,2,4,1,20001,AND
1,1,1,3,1,3,4,3,4,2,2,3,1,5,1,0,0,0,0,0,0,0,0,0,0,8,3,1,10,4,8,10,1,7,1,1,3,4,2,54,1,4,1,20001,AND
1,1,2,4,1,4,4,5,5,2,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,3,1,1,10,5,10,10,5,8,1,1,3,4,2,33,6,3,1,20001,AND
1,1,1,4,1,3,4,4,2,1,1,4,2,5,0,0,0,0,0,0,0,0,0,0,0,8,10,1,10,10,10,10,1,10,1,1,4,4,2,71,1,4,1,20001,AND
1,2,2,3,1,3,4,4,4,2,1,2,2,10,1,0,0,0,0,0,0,0,0,0,0,8,6,1,10,5,10,10,3,3,1,1,4,4,1,66,2,4,1,20001,AND
1,2,2,3,2,2,4,2,2,2,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,10,10,1,10,10,10,10,1,2,1,1,1,4,2,49,1,3,1,20001,AND
1,1,1,4,1,4,1,1,1,3,1,-2,1,1,0,2,0,0,0,0,0,0,0,0,0,7,7,1,10,10,10,10,1,10,1,10,1,4,2,53,6,3,9,20002,AND
1,3,4,4,1,4,1,1,1,2,1,3,1,5,2,0,0,0,0,0,0,0,0,0,0,10,10,1,6,3,6,4,2,2,1,1,1,4,2,39,3,4,1,20001,AND
2,2,2,4,1,4,4,5,3,2,2,2,4,6,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,2,52,3,4,1,20001,AND
1,1,2,4,1,3,4,1,1,3,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,10,10,1,10,8,10,10,5,10,1,10,1,2,2,30,4,3,1,20001,AND
2,1,1,2,1,4,4,5,5,2,1,3,2,7,0,0,0,0,0,0,0,0,0,0,0,6,9,2,10,9,10,10,2,8,1,1,1,4,2,49,2,4,0,20002,AND
1,2,1,4,2,4,4,5,4,2,2,1,2,6,1,0,0,0,0,0,0,0,0,0,0,1,10,1,8,9,10,10,2,7,1,2,2,4,2,68,1,4,1,20001,AND
2,2,2,1,3,4,4,3,2,2,2,3,2,5,0,0,1,0,0,0,0,0,0,0,0,5,10,2,5,5,8,8,1,8,1,2,4,4,1,36,3,3,0,20001,AND
1,2,2,4,1,4,4,2,1,4,4,4,-2,1,2,0,0,0,0,0,0,0,0,0,0,10,10,1,10,10,10,10,1,6,1,10,1,3,2,37,2,4,1,20001,AND
1,2,3,3,2,3,4,3,3,1,1,2,2,5,1,0,0,0,0,0,0,0,0,0,0,7,5,1,10,10,10,10,2,10,1,1,2,4,2,48,4,4,1,20001,AND
1,2,2,2,2,4,4,5,2,4,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,10,8,1,10,10,10,10,10,10,1,1,4,4,2,61,4,3,0,20001,AND
1,1,1,4,1,3,3,2,4,2,1,2,2,4,1,2,1,0,0,0,2,0,0,0,0,4,6,1,8,8,10,10,3,3,1,1,4,4,1,46,4,3,1,20001,AND
1,2,1,2,1,4,4,5,4,3,2,-2,2,8,0,2,2,2,0,0,0,0,0,0,0,7,1,1,10,8,10,10,5,5,1,5,3,4,2,42,7,2,1,20001,AND
1,1,2,4,1,4,4,5,4,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,10,7,1,10,7,10,10,-2,1,1,5,4,4,1,21,1,3,1,20001,AND
1,2,1,1,1,4,4,1,3,4,3,4,4,1,0,2,1,0,0,0,0,0,0,0,0,5,10,1,10,10,10,10,10,10,1,9,1,4,2,20,4,2,0,20001,AND
1,2,2,4,1,3,4,5,-2,2,2,-2,1,3,0,0,0,0,0,0,0,0,0,0,0,10,10,1,10,10,10,10,10,10,1,6,1,4,2,50,1,4,1,20001,AND
1,1,1,4,4,2,4,5,1,2,2,3,-2,2,2,2,0,0,0,0,0,0,0,0,0,5,8,1,10,5,10,10,1,1,1,3,1,1,2,75,1,4,1,20001,AND
1,4,1,2,1,4,1,5,3,3,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,10,1,1,10,10,10,10,5,10,1,5,1,4,2,46,4,4,0,20001,AND
1,1,2,2,1,1,4,5,3,1,1,2,1,5,2,0,0,0,0,0,0,0,0,0,0,2,10,1,5,5,5,10,1,2,1,1,1,4,2,55,1,4,1,20001,AND
1,1,1,3,1,2,4,5,5,2,1,3,2,10,2,2,0,0,0,0,0,0,0,0,0,10,1,1,10,10,10,6,10,1,1,6,1,4,2,32,3,2,1,20001,AND
1,1,2,2,2,4,4,5,5,2,1,2,2,4,0,2,0,0,0,0,0,0,0,0,0,5,7,6,10,10,10,10,9,10,1,1,3,4,1,56,4,3,0,20001,AND
1,1,1,4,1,1,-2,3,1,2,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,7,7,1,1,1,10,10,1,3,1,1,1,2,2,83,0,4,1,20001,AND
1,4,1,2,1,1,4,1,4,2,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,1,1,1,1,1,1,2,4,1,67,2,2,5,20005,AND
1,1,1,4,2,4,4,5,5,4,1,4,1,5,0,2,0,0,0,0,0,0,0,0,0,10,6,10,10,10,10,10,10,10,1,10,4,4,1,32,3,3,1,20001,AND
1,2,1,4,1,4,4,5,5,4,3,3,-2,1,0,0,0,0,0,0,0,0,0,0,0,10,10,9,10,10,10,10,10,10,1,5,4,4,1,51,1,3,0,20001,AND
1,1,1,2,1,4,4,5,4,1,1,-2,1,2,0,0,2,0,0,0,0,0,0,0,0,9,1,1,5,10,10,10,10,10,1,1,2,4,2,45,8,3,0,20001,AND
1,1,2,4,1,1,4,3,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,8,10,1,10,1,10,10,1,-2,1,1,2,4,2,59,2,3,2,20001,AND
1,2,1,4,1,3,4,3,3,3,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,10,10,1,10,-2,10,10,1,10,1,2,1,2,2,48,2,4,1,20001,AND
1,2,2,3,2,2,4,5,4,1,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,10,5,1,10,8,10,10,5,10,1,1,4,4,2,67,3,4,1,20001,AND
1,2,4,1,1,3,4,5,5,2,2,2,1,10,1,1,1,0,1,1,2,1,1,1,1,10,1,1,10,1,10,10,1,10,1,1,4,4,1,68,6,2,1,20001,AND
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,10,10,1,7,1,1,10,1,1,1,1,4,4,1,66,1,3,1,20001,AND
1,1,1,3,1,1,2,5,5,1,1,3,1,5,2,0,0,0,0,0,0,0,0,0,0,5,9,1,10,10,10,10,1,5,1,1,3,4,2,39,3,4,1,20001,AND
1,1,2,4,4,4,4,4,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,8,8,1,-2,5,10,10,1,10,1,3,2,4,1,86,0,4,1,20001,AND
2,3,2,3,2,3,4,4,4,2,1,-2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,5,1,10,8,9,10,1,7,1,1,3,4,2,46,5,3,1,20001,AND
1,2,2,2,2,4,4,4,3,2,1,2,2,9,0,0,0,0,0,0,0,0,0,0,1,7,3,1,10,10,10,10,5,10,1,1,4,4,2,49,6,2,0,20001,AND
1,1,2,4,2,4,4,5,4,2,1,2,2,7,0,0,0,0,0,0,0,0,0,0,0,7,1,1,10,10,10,10,1,10,1,1,4,4,2,45,2,4,0,20001,AND
1,1,1,2,1,4,2,4,3,2,2,4,2,7,0,0,0,0,0,0,0,0,0,0,0,10,3,1,5,5,10,10,1,5,1,1,1,4,1,32,3,4,0,20001,AND
1,2,1,3,1,3,4,5,3,3,2,2,2,5,0,0,0,0,0,0,0,2,0,0,0,10,10,5,10,10,10,10,1,5,1,8,3,3,2,30,4,3,1,20001,AND
1,2,1,4,1,3,2,4,2,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,10,6,1,10,5,10,10,5,5,1,1,2,4,2,38,1,4,1,20001,AND
1,3,1,4,2,4,1,4,2,2,2,3,2,10,0,0,0,0,0,0,0,0,0,0,0,10,1,1,5,5,10,10,5,5,1,7,2,4,1,24,2,2,0,20001,AND
1,1,1,4,1,3,4,3,5,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,7,3,1,9,6,9,10,1,9,1,7,2,4,1,37,5,4,1,20001,AND
1,2,3,4,1,1,2,2,2,2,1,3,2,7,2,2,2,2,2,2,0,2,1,0,2,8,9,2,5,1,5,3,1,5,1,1,2,2,1,28,2,3,5,20005,AND
1,1,1,4,2,3,3,5,4,2,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,10,5,1,10,4,10,10,1,5,1,6,1,4,1,30,2,3,0,20001,AND
1,1,1,3,1,2,2,5,2,3,2,2,2,5,0,0,1,0,0,0,0,0,0,0,0,9,8,1,2,2,5,5,1,5,1,5,4,4,2,31,6,3,3,20001,AND
1,1,2,2,1,2,1,5,2,2,2,2,3,7,0,0,0,0,0,0,0,0,0,0,1,7,5,2,6,1,8,5,1,1,1,1,4,4,2,32,6,3,1,20001,AND
1,2,2,4,1,1,-2,4,1,3,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,10,10,3,8,1,6,6,1,-2,1,8,4,4,2,29,-2,3,5,20002,AND
1,2,2,4,1,2,1,4,1,3,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,9,6,4,4,1,5,1,1,5,1,1,3,4,2,30,6,2,3,20001,AND
1,2,2,3,1,2,2,4,2,3,2,-2,3,5,1,0,0,0,0,0,0,0,0,0,0,8,7,2,10,1,10,4,1,1,1,1,4,4,2,41,3,3,1,20001,AND
1,1,1,3,1,3,2,4,1,2,2,2,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,3,1,10,1,10,6,6,6,1,1,2,4,1,46,2,3,1,20001,AND
1,2,1,3,1,3,4,5,1,2,1,2,2,8,0,0,0,0,0,0,0,0,0,0,0,8,8,1,10,4,10,6,1,4,1,10,4,4,2,48,4,3,1,20001,AND
1,2,1,4,1,3,4,4,2,2,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,10,10,1,10,1,10,7,1,5,1,7,1,3,2,50,4,2,1,20001,AND
1,1,1,3,1,3,2,4,2,2,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,10,6,1,5,5,5,5,5,5,1,1,2,4,1,27,6,3,3,20001,AND
1,2,1,4,2,1,1,2,2,2,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,10,8,1,5,5,5,5,1,4,1,1,2,4,2,37,6,3,5,20001,AND
1,3,1,4,1,3,2,5,1,3,2,3,3,5,0,0,0,0,0,0,0,0,0,0,0,10,10,1,10,5,10,9,1,2,1,1,2,4,2,54,6,3,3,20001,AND
1,2,1,4,1,4,4,3,2,3,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,10,1,1,10,5,10,10,1,10,1,1,2,4,1,47,2,3,0,20001,AND
1,2,2,4,2,4,1,5,2,3,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,5,7,1,6,1,1,6,1,6,1,1,4,4,1,41,2,2,0,20001,AND
1,1,1,4,2,3,4,3,2,3,2,2,2,7,1,0,0,0,0,0,0,0,0,0,0,10,6,1,8,1,9,10,1,6,1,1,1,4,2,24,2,3,1,20001,AND
2,2,1,3,2,3,2,5,3,3,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,10,1,1,5,5,10,10,5,5,2,10,2,3,1,30,3,2,0,20001,AND
