code,mapped_category,ethnicity_string,country
404006,2,Luo,KEN
404007,2,Maasai,KEN
404008,2,Meru,KEN
404009,2,Mijikenda,KEN
404010,2,Somalis,KEN
404011,2,Turkana,KEN
404014,5,Arabs in Kenya (Arabic, Central Asian),KEN
404016,8,Other,KEN
410004,4,East Asian (Chinese, Japanese, etc),KOR
417001,5,Kirguís,KGZ
417002,1,European,KGZ
417003,5,Tayiko,KGZ
417004,1,Ruso,KGZ
417005,5,Kazakh,KGZ
417999,8,Other,KGZ
434005,5,Arabic,LBY
434006,7,Amazigh,LBY
434007,7,Tuareg,LBY
434008,7,Toubou,LBY
434999,8,Other,LBY
446001,1,Caucasian white,MAC
446003,3,South Asian (Indian, Pakistani, etc.),MAC
446004,4,East Asian (Chinese, Japanese, etc.),MAC
446006,4,Chinese,MAC
446007,1,Portuguese/Macaense,MAC
446008,6,Southeast Asians (Indonesia, Philippines, Thailand),MAC
446999,8,Other,MAC
458004,6,Malay,MYS
458012,4,Chinese,MYS
458014,3,Indian,MYS
462001,1,Caucasian white,MDV
462003,3,South Asian (India, Pakistani, etc.),MDV
462004,4,East Asian (Chinese, Japanese, etc.),MDV
484001,1,White,MEX
484002,8,Light brown,MEX
484003,8,Dark brown,MEX
484004,2,Black,MEX
484005,7,Indigenous,MEX
496001,6,Khalkh,MNG
496002,6,Dorvod,MNG
496003,6,Bayad,MNG
496004,6,Buriad,MNG
496005,6,Zakhchin,MNG
496006,6,Myangad,MNG
496007,6,Uuld,MNG
496008,5,Kazakh,MNG
496009,6,Tuva,MNG
496011,6,Dariganga,MNG
496012,6,Uzemchin,MNG
496014,6,Uriankhai,MNG
496015,6,Khoton,MNG
496016,6,Darkhad,MNG
496017,6,Torguud,MNG
504005,5,Arabe,MAR
528001,1,Caucasian white,NLD
528002,2,Negro Black,NLD
528003,3,South Asian (Indian, Pakistani, etc.),NLD
528004,4,East Asian (Chinese, Japanese, etc.),NLD
528005,5,Arabic/Central Asian,NLD
528999,8,Other,NLD
558001,8,Half Blood,NIC
558002,7,Indigenous,NIC
558003,2,Afrocaribeño,NIC
558999,8,Other,NIC
566001,2,Yoruba,NGA
566002,2,Hausa,NGA
566003,2,Igbo,NGA
566004,2,Fulani,NGA
566005,2,Tiv,NGA
566006,2,Ibibio,NGA
566998,2,Other Africans,NGA
566999,8,Others,NGA
586001,3,Punjabi,PAK
586003,3,Baluchi,PAK
586004,3,Sindhi,PAK
586005,3,Urdu speaking,PAK
586006,3,Pashto,PAK
586007,3,Hindko,PAK
586008,3,Seraiki,PAK
586009,3,Hindko,PAK
586999,8,Others,PAK
604001,1,White,PER
604012,7,Indigenous / Native,PER
604013,7,Indigenous half-breed,PER
604014,2,Afro half-breed,PER
604015,4,Asian half-breed,PER
604016,1,European half-breed,PER
604998,8,Migrant of other origin,PER
604999,8,Other,PER
608001,6,Tagalog,PHL
608002,6,Bisaya,PHL
608003,6,Ilonggo,PHL
608004,6,Bicolano,PHL
608005,6,Ilocano,PHL
608006,6,Waray,PHL
608007,6,Chabacano,PHL
608010,6,Kapampangan,PHL
608015,6,Aklanon,PHL
608017,6,Sama,PHL
608018,6,Matanao,PHL
608020,6,Bilaan,PHL
608024,6,Cebuano,PHL
608026,6,Antiqueño,PHL
608027,6,Masbateno,PHL
608028,6,Pangasinense,PHL
608031,6,Tausog,PHL
608032,6,Suriganon,PHL
608039,6,Maguindanao,PHL
608047,6,Igorot,PHL
608048,6,Yakan,PHL
608049,6,Marinduque,PHL
608050,6,Ayangan (Kankanaey),PHL
608051,6,Tinguiuan Tribe,PHL
608052,6,Belwang tribe,PHL
608053,6,Matinguian Tribe,PHL
608054,6,Sambal,PHL
608055,6,Mangyan,PHL
608056,6,Romblomanon,PHL
608057,6,Subanin,PHL
608058,6,Cantilangnon,PHL
630001,1,White,PRI
630002,2,Black,PRI
630007,7,Indigenous,PRI
630012,8,Light brown,PRI
630013,8,Dark brown,PRI
630999,8,Other,PRI
642005,1,Caucasian white,ROU
642999,8,Other,ROU
643001,1,Russian,RUS
643002,5,Tatar,RUS
643003,1,Ukrainian,RUS
643005,1,Jew,RUS
643007,1,German,RUS
643015,1,Georgian,RUS
643016,1,Armenian,RUS
643020,1,Moldovan,RUS
643023,1,Italian,RUS
643025,5,Kazakh,RUS
643036,5,Azeri,RUS
643037,4,North-East Asian,RUS
643040,5,Tajik,RUS
643053,5,Kyrgyz,RUS
643080,5,Uzbek,RUS
643097,5,Iranian and Central Asian,RUS
643999,8,Other,RUS
688001,1,Caucasian white,SRB
688999,8,Other,SRB
702001,1,Caucasian white,SGP
702003,3,South Asian (Indian, Pakistan, etc.),SGP
702004,4,Chinese,SGP
702006,6,Malay,SGP
702008,8,Eurasian,SGP
702999,8,Others,SGP
703001,8,Gypsy,SVK
703003,1,Slovak,SVK
703006,1,Hungarian,SVK
703008,1,Ruthenian,SVK
703009,1,Bohemia/Czech Republic,SVK
703999,8,Other,SVK
704001,6,Kinh,VNM
704002,6,Muong,VNM
704007,6,Thai,VNM
704009,4,China,VNM
716001,2,Africans/Negro Black,ZWE
716002,1,Caucasian White,ZWE
716006,2,Shona,ZWE
716007,2,Ndebele,ZWE
716008,5,Arabic/Central Asian,ZWE
716999,8,Other,ZWE
762001,5,Tajik,TJK
762002,5,Uzbek,TJK
762004,1,Russian,TJK
764001,6,Thai,THA
764002,4,China,THA
764003,6,Malayu,THA
764004,7,Tribe,THA
764999,8,Other,THA
788002,2,Negro Black,TUN
788003,7,Tamazight (Berber),TUN
788005,5,Arabic,TUN
788999,8,Other,TUN
804001,1,Ukrainians,UKR
804002,1,Russians,UKR
804003,1,Belarusians,UKR
804004,5,Tatars,UKR
804005,1,Jews,UKR
804999,8,Other,UKR
818001,5,Arab,EGY
818004,5,Noba,EGY
818006,5,Coptic,EGY
818999,8,Other,EGY
826002,2,Black-Caribbean,GBR
826003,2,Black-African,GBR
826004,2,Black-Other,GBR
826005,3,Indian,GBR
826006,3,Pakistani,GBR
826007,3,Bangladeshi,GBR
826008,4,Chinese,GBR
826015,5,Arabic/Central Asian,GBR
826016,8,Mixed race,GBR
826100,1,English / Welsh / Scottish / Northern Irish / British,GBR
826101,1,Irish,GBR
826102,8,Gypsy or Irish Traveller,GBR
826103,1,Any other White background,GBR
826104,8,White and Black Caribbean,GBR
826105,8,White and Black African,GBR
826106,8,White and Asian,GBR
826107,8,Any other Asian background,GBR
826999,8,Other ethnic group,GBR
840001,1,White (non-Hispanic),USA
840002,2,Black (non-Hispanic),USA
840003,8,Other (non-Hispanic),USA
840004,8,Hispanic,USA
840005,8,Two plus (non-Hispanic),USA
858100,1,White,URY
858101,2,Afro or black,URY
858102,7,Indigenous,URY
858103,8,Half Blood,URY
858104,8,Mulatto,URY
858105,4,Asian,URY
858999,8,Other,URY
860001,5,Uzbek,UZB
860002,1,Russian,UZB
860003,5,Tatarin,UZB
860004,5,Kazakhs,UZB
860005,5,Karakalpak,UZB
860006,5,Tajik,UZB
860007,5,Kyrgyz,UZB
860008,5,Turkmen,UZB
862001,1,White,VEN
862002,8,Mestizo / Light brown,VEN
862003,2,Dark-skinned / Dark-brown,VEN
862004,2,Black,VEN
862005,7,Indigenous,VEN
909002,1,English / Welsh / Scottish / Northern Irish / British,NIR
909003,1,Irish,NIR
909005,1,Any other White background,NIR
909007,8,White and Black African,NIR
909010,3,Indian,NIR
909013,4,Chinese,NIR
909014,4,Any other Asian background,NIR
909015,2,African,NIR
909016,2,Caribbean,NIR
909017,8,Any other Black / African / Caribbean background,NIR
