code,mapped_category,ethnicity_string,country
20001,1,Caucasian white,AND
20002,2,Negro black,AND
20003,3,South Asian,AND
20004,4,East Asian,AND
20005,5,Arabic/Central Asian,AND
20999,8,Other,AND
32001,1,White,ARG
32002,8,Light brown,ARG
32003,8,Dark brown,ARG
32004,2,Black,ARG
32005,7,Indigenous,ARG
32999,8,Other,ARG
36001,1,Australian (English speaking),AUS
36002,1,European,AUS
36003,3,South Asian,AUS
36004,4,East Asian,AUS
36005,5,Arabic/Central Asian,AUS
36006,6,Southeast Asian,AUS
36007,7,Aboriginal or Torres Strait Islander,AUS
36999,8,Other,AUS
50006,3,Bengali,BGD
50007,3,Chakma,BGD
50008,7,Murong,BGD
51001,1,Armenian,ARM
51005,1,Russian,ARM
51006,5,Yazidis,ARM
51007,8,Other,ARM
68001,8,Not pertaining to Indigenous groups,BOL
68002,7,Quechua,BOL
68003,7,Aymara,BOL
68004,7,Guaraní,BOL
68005,7,Chiquitano,BOL
68006,7,Mojeño,BOL
68007,2,Afroboliviano,BOL
68008,7,Indigenous with no further detail,BOL
68999,8,Other,BOL
76001,1,White,BRA
76002,2,Black,BRA
76003,8,Brown - Moreno ou pardo,BRA
76004,4,Oriental (Chinese, Japanese...),BRA
76005,7,Indigenous,BRA
104001,6,Bamar,MMR
104002,6,Kayin,MMR
104003,6,Rakhine,MMR
104004,6,Shan,MMR
104005,6,Mon,MMR
104999,8,Other,MMR
124001,1,Caucasian (White),CAN
124002,2,Black (African, African-American, etc.),CAN
124003,5,West Asian (Iranian, Afghan, etc.),CAN
124004,6,Southeast Asian (Vietnamese, Cambodian, Malaysian, etc.),CAN
124005,5,Arabic (Central Asia),CAN
124006,3,South Asian (Indian, Bangladeshi, Pakistani, Sri Lankan, etc.),CAN
124007,8,Latin American / Hispanic,CAN
124008,7,Aboriginal / First Nations,CAN
124009,4,Chinese,CAN
124010,6,Filipino,CAN
124011,4,Korean,CAN
124012,4,Japanese,CAN
124999,8,Other,CAN
152001,1,White, Caucasian,CHL
152002,2,Black,CHL
152008,7,Indigenous,CHL
152009,4,Asiatic,CHL
152012,8,Mestizo(a),CHL
152013,8,Mulatto(a),CHL
152999,8,Other,CHL
156001,4,Chinese,CHN
158001,4,Hakka from Taiwan,TWN
158002,4,Minnanese from Taiwan,TWN
158003,4,Mainlander/China,TWN
158004,7,Aboriginal,TWN
158999,8,Other,TWN
170008,2,Afro-colombian,COL
170009,8,Gypsie,COL
170010,7,Indigenous,COL
170011,1,White,COL
170999,8,Other,COL
196001,1,Caucasian white,CYP
196003,3,South Asian (Indian, Pakistani, etc.),CYP
196005,5,Arabic/Central Asian,CYP
203004,1,Slovak,CZE
203005,1,Poland,CZE
203006,1,Ukrainian,CZE
203010,8,Other,CZE
218011,1,Blanco,ECU
218012,8,Mestizo,ECU
218013,2,Negro,ECU
218014,7,Indígena,ECU
218017,8,Montubio,ECU
218018,8,Mulato,ECU
231001,2,Amhara,ETH
231002,2,Tigre,ETH
231003,2,Oromo,ETH
231004,2,Somali,ETH
231005,2,Afar,ETH
231006,2,Sidama,ETH
231007,2,Wolayta,ETH
231998,2,Other Africans/Negro Black,ETH
231999,8,Other,ETH
300001,1,Caucasian white,GRC
300002,2,Negro Black,GRC
300004,4,East Asian (Chinese, Japanese, etc.),GRC
300005,5,Arabic/Central Asian,GRC
320001,8,Ladino,GTM
320002,8,Cross breed,GTM
320003,8,Brown,GTM
320004,7,Indigenous,GTM
320005,1,White,GTM
320006,8,Hispanic,GTM
344001,4,Chinese,HKG
344002,6,Filipino,HKG
344003,8,Indonesian,HKG
344004,1,White,HKG
344005,3,Indian,HKG
344006,3,Nepalese,HKG
344007,3,Pakistani,HKG
344008,6,Thai,HKG
344998,6,Other Asian,HKG
344999,8,Other,HKG
356017,3,Hindu (Scheduled Castes),IND
356018,3,Hindu (Scheduled Tribes),IND
356019,3,Hindu (Other Backward Castes),IND
356024,3,General,IND
360002,4,Chinese,IDN
360004,6,Javanese,IDN
360005,6,Sundanese,IDN
360007,6,Aceh,IDN
360008,6,Batak,IDN
360009,6,Banjar,IDN
360010,6,Betawi,IDN
360011,6,Bengkulu,IDN
360012,6,Bugis,IDN
360013,6,Dani,IDN
360014,6,Dayak,IDN
360015,6,Flores,IDN
360017,6,Lampung,IDN
360018,6,Maduranese,IDN
360019,6,Makassar,IDN
360020,6,Mandar,IDN
360021,6,Manggarai,IDN
360022,6,Melayu,IDN
360023,6,Minangkabau,IDN
360024,6,Palembang,IDN
360026,6,Toraja,IDN
360999,8,Other,IDN
364001,5,Persian,IRN
364002,5,Turk/Azeri,IRN
364003,5,Kurd,IRN
364004,5,Lor,IRN
364005,5,Gilak/Mazani/Shomali,IRN
364006,5,Baluch,IRN
364007,5,Arab,IRN
364999,8,Other,IRN
368001,5,Arab,IRQ
368002,5,Kurdish,IRQ
368003,5,Turk,IRQ
368004,5,Ashur,IRQ
398001,4,Korean,KAZ
398002,5,Uigur,KAZ
398003,1,Bashkir,KAZ
398004,1,Lezgin,KAZ
398005,1,Belorus,KAZ
398021,5,Azeri,KAZ
398022,5,Iranian and Central Asian,KAZ
398023,1,Georgian,KAZ
398024,1,German,KAZ
398025,5,Kazakh,KAZ
398026,5,Kurdish,KAZ
398027,5,Kyrgyz,KAZ
398028,1,Moldovan,KAZ
398029,1,Russian,KAZ
398030,5,Tajik,KAZ
398031,5,Tatar,KAZ
398032,1,Ukrainian,KAZ
398033,5,Uzbek,KAZ
398040,5,Turkish,KAZ
404001,2,Kalenjin,KEN
404002,2,Kamba,KEN
404003,2,Kikuyu,KEN
404004,2,Kisii,KEN
404005,2,Luhya,KEN
